Date,ISIN,Total Cost,Num Shares,Subsc
03/03/2026,IE0007471471,30,0.329,subscription
03/03/2026,IE0007471471,300,3.294,subscription
03/03/2026,IE0007472990,300,1.380,subscription
03/03/2026,IE00BYWYCC39,50,2.855,subscription
03/03/2026,IE00B42W4L06,50,0.126,subscription
03/03/2026,IE00BD0NCM55,500,19.599,subscription
03/03/2025,IE00BFPM9P35,209.78,0.879,refund
03/03/2025,IE0007471471,300,3.365,subscription
03/03/2025,IE0007472990,300,1.404,subscription
03/03/2025,IE00BYWYCC39,50,3.679,subscription
03/03/2025,IE00B42W4L06,50,0.148,subscription
03/03/2025,IE00BD0NCM55,500,21.263,subscription
03/04/2025,FR0000447823,10000,3.848,subscription
01/03/2024,IE0007471471,300,3.463,subscription
01/03/2024,IE0007472990,300,1.452,subscription
01/03/2024,IE00BYWYCC39,50,4.192,subscription
01/03/2024,IE00B42W4L06,50,0.162,subscription
01/03/2024,IE00BD0NCM55,500,24.961,subscription
01/03/2024,IE00BFPM9P35,200,0.879,subscription
01/03/2023,IE0007471471,2000,23.317,subscription
01/03/2023,IE0007472990,2000,10.243,subscription
01/03/2023,IE00BYWYCC39,500,43.817,subscription
01/03/2023,IE00B42W4L06,500,1.742,subscription
01/03/2023,IE00BD0NCM55,5000,310.598,subscription


